subjID,exptPart,trialNumber,roleCurrent,marblesSampled,probabilityRed,drawnRed,reportedDrawn,callBS,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,trialTime
visitor-xqliw,practice,1,detector,6,0.5,4,2,True,174726,,-1,-1,-1,77047
visitor-xqliw,trial,1,detector,6,0.5,2,4,False,19664,,-1,-1,-1,6059
visitor-xqliw,trial,2,detector,6,0.5,3,3,True,13981,,-1,-1,-1,4432
visitor-xqliw,trial,3,detector,6,0.5,2,5,False,19065,,-1,-1,-1,5397
visitor-xqliw,trial,4,detector,6,0.5,2,5,False,19737,,-1,-1,-1,7082
visitor-xqliw,trial,5,detector,6,0.5,4,4,True,16223,,-1,-1,-1,6117
visitor-xqliw,trial,6,detector,6,0.5,2,3,False,12354,,-1,-1,-1,4342
visitor-xqliw,trial,7,detector,6,0.5,3,3,False,14410,,-1,-1,-1,11289
visitor-xqliw,trial,8,detector,6,0.5,2,2,False,17684,,-1,-1,-1,6024
visitor-xqliw,trial,9,detector,6,0.5,4,4,True,15677,,-1,-1,-1,6273
visitor-xqliw,trial,10,detector,6,0.5,4,4,False,18175,,-1,-1,-1,7345
visitor-xqliw,trial,11,detector,6,0.5,3,3,False,13870,,-1,-1,-1,12365
visitor-xqliw,trial,12,detector,6,0.5,3,4,False,11950,,-1,-1,-1,4853
visitor-xqliw,trial,13,detector,6,0.5,3,3,True,13546,,-1,-1,-1,4113
visitor-xqliw,trial,14,detector,6,0.5,4,3,False,18461,,-1,-1,-1,6381
visitor-xqliw,trial,15,detector,6,0.5,4,4,False,12934,,-1,-1,-1,4440
visitor-xqliw,trial,16,detector,6,0.5,5,2,False,11053,,-1,-1,-1,6219
visitor-xqliw,trial,17,detector,6,0.5,1,5,True,15111,,-1,-1,-1,6049
visitor-xqliw,trial,18,detector,6,0.5,4,3,False,8912,,-1,-1,-1,3700
visitor-xqliw,trial,19,detector,6,0.5,5,5,False,16135,,-1,-1,-1,8602
visitor-xqliw,trial,20,detector,6,0.5,4,4,True,13155,,-1,-1,-1,3403
